標籤名稱,關鍵詞,,,,,,,,,,,,,
免費wifi,wifi,Wi-Fi,,,,,,,,,,,,
提供插座,提供插座,插座多,有插座,,,,,,,,,,,
環境舒適,舒適,乾淨,chill,整潔,舒服,放鬆,空間舒服,空間很舒服,空間舒適,空間很舒適,環境舒服,環境很舒服,環境很舒適
燈光昏暗,昏暗,黃光,昏黃,暗黃,較暗,,,,,,,,,
燈光明亮,燈光明亮,明亮,,,,,,,,,,,,
安靜,安靜,不會吵雜,不吵雜,,,,,,,,,,,
吵雜,很吵,很大聲,有點吵雜,,,,,,,,,,,
工業風,工業,,,,,,,,,,,,,
復古風,復古,,,,,,,,,,,,,
文青風,文青,,,,,,,,,,,,,
氣氛很好,氣氛很好,氣氛好,很有氣氛,溫馨,氛圍很好,很有氛圍,氛圍很棒,氛圍非常棒,氣氛舒適,氛圍很舒服,氣氛還不錯,氣氛不錯,氣氛佳,氛圍不錯
不限時,不限時,無時間限制,無限時,,,,,,,,,,,
平日不限時,平日不限時,不限時,無時間限制,無限時,,,,,,,,,,
開到深夜,深夜,營業到很晚,開到很晚,凌晨,午夜,,,,,,,,,
適合工作或讀書,適合工作,適合讀書,適合用筆電,專心工作,適合唸書,適合看書,適合辦公,做事,用筆電,用電腦,不適合聊天,不適合聚會,,
適合聚會,適合聚會,適合聊天,適合放鬆,不適合工作,不適合讀書,不適合念書,不適合唸書,好聊天,,,,,,
有戶外座,戶外,室外,,,,,,,,,,,,
有吸煙區,吸煙區,,,,,,,,,,,,,
空間寬敞,空間大,空間很大,空間超大,寬敞,,,,,,,,,,
座位多,座位多,,,,,,,,,,,,,
近捷運站,捷運站,,,,,,,,,,,,,
有貓咪,貓,有貓,,,,,,,,,,,,
有狗,狗,,,,,,,,,,,,,
寵物友善,寵物友善,,,,,,,,,,,,,
餐點好吃,好吃,,,,,,,,,,,,,
甜點好吃,甜點好吃,蛋糕好吃,肉桂捲好吃,司康好吃,布丁好吃,可麗露好吃,甜點很好吃,蛋糕很好吃,肉桂捲很好吃,司康很好吃,布丁很好吃,可麗露很好吃,,
服務品質好,態度好,態度很好,親切,體貼,細心,有禮貌,,,,,,,,
飲料好喝,飲料很好喝,咖啡好喝,咖啡很好喝